노드링크 유형,시군구명,읍면동명,경도,위도
LINK,노원구,중계동,127.06605505,37.646152841
LINK,노원구,중계동,127.06066148,37.63984609
LINK,노원구,중계동,127.06942412,37.649370092
NODE,노원구,중계동,127.06055779,37.63948757
LINK,노원구,중계동,127.06637406,37.64605094
LINK,노원구,중계동,127.07281947,37.651388253
NODE,노원구,중계동,127.07798515,37.654708767
NODE,노원구,중계동,127.08050409,37.647748554
NODE,노원구,중계동,127.06421412,37.645308331
NODE,노원구,중계동,127.08071966,37.647709547
LINK,노원구,중계동,127.08314438,37.644225854
LINK,노원구,중계동,127.06249299,37.64277775
NODE,노원구,중계동,127.06353811,37.645568034
LINK,노원구,중계동,127.06413893,37.639111117
LINK,노원구,중계동,127.07472677,37.650696763
NODE,노원구,중계동,127.07528456,37.65795551
LINK,노원구,중계동,127.07673135,37.650510075
LINK,노원구,중계동,127.06880052,37.640664776
LINK,노원구,중계동,127.07429828,37.654897142
NODE,노원구,중계동,127.07836314,37.653399934
LINK,노원구,중계동,127.07542393,37.659885451
LINK,노원구,중계동,127.06313559,37.6413339
NODE,노원구,중계동,127.06930736,37.649303299
NODE,노원구,중계동,127.06954088,37.649436885
NODE,노원구,중계동,127.06966785,37.649412248
LINK,노원구,중계동,127.07698961,37.650655662
LINK,노원구,중계동,127.066735,37.645279571
LINK,노원구,중계동,127.0731025,37.651376418
LINK,노원구,중계동,127.0808605,37.649011259
LINK,노원구,중계동,127.06403754,37.645258463
NODE,노원구,중계동,127.07692233,37.650827114
NODE,노원구,중계동,127.07657916,37.650834334
LINK,노원구,중계동,127.06373773,37.645894668
NODE,노원구,중계동,127.07001406,37.646587161
LINK,노원구,중계동,127.07362272,37.652443024
NODE,노원구,중계동,127.07029298,37.646653286
NODE,노원구,중계동,127.06629962,37.646390436
NODE,노원구,중계동,127.07569303,37.660548915
NODE,노원구,중계동,127.07584334,37.661448674
NODE,노원구,중계동,127.07556181,37.661467126
NODE,노원구,중계동,127.0678073,37.647799967
LINK,노원구,중계동,127.07420325,37.654553876
NODE,노원구,중계동,127.07555836,37.659860696
NODE,노원구,중계동,127.06238974,37.642751633
NODE,노원구,중계동,127.07528949,37.659910205
LINK,노원구,중계동,127.06454902,37.63820169
NODE,노원구,중계동,127.07492706,37.658028569
NODE,노원구,중계동,127.07673497,37.657404817
NODE,노원구,중계동,127.07765098,37.65202533
LINK,노원구,중계동,127.08109553,37.650279777
LINK,노원구,중계동,127.06788313,37.642690309
LINK,노원구,중계동,127.06974035,37.649022928
LINK,노원구,중계동,127.08099812,37.649709648
LINK,노원구,중계동,127.06723965,37.644140821
LINK,노원구,중계동,127.07990065,37.650603587
LINK,노원구,중계동,127.08107635,37.646575506
LINK,노원구,중계동,127.07570257,37.6614579
LINK,노원구,중계동,127.07130057,37.650336244
NODE,노원구,중계동,127.07824713,37.656576835
LINK,노원구,중계동,127.06237055,37.643060944
LINK,노원구,중계동,127.07667338,37.64919121
LINK,노원구,중계동,127.06690452,37.638899461
NODE,노원구,중계동,127.06424522,37.639143033
NODE,노원구,중계동,127.08075128,37.649028478
NODE,노원구,중계동,127.08096973,37.64899404
LINK,노원구,중계동,127.07447441,37.654662067
NODE,노원구,중계동,127.06811928,37.641918092
NODE,노원구,중계동,127.06778137,37.642658248
NODE,노원구,중계동,127.07541153,37.660585637
NODE,노원구,중계동,127.06868735,37.650638162
LINK,노원구,중계동,127.08068993,37.648129026
NODE,노원구,중계동,127.06798489,37.64272237
LINK,노원구,중계동,127.07015352,37.646620224
NODE,노원구,중계동,127.07648501,37.650554545
NODE,노원구,중계동,127.07693079,37.650505281
NODE,노원구,중계동,127.07698363,37.650544892
NODE,노원구,중계동,127.0768401,37.649172815
NODE,노원구,중계동,127.0765319,37.650514869
NODE,노원구,중계동,127.07650665,37.649209605
NODE,노원구,중계동,127.07835546,37.654695474
NODE,노원구,중계동,127.07801374,37.653390587
LINK,노원구,중계동,127.07585584,37.662439879
LINK,노원구,중계동,127.06360083,37.645438332
NODE,노원구,중계동,127.07294,37.651666863
NODE,노원구,중계동,127.07472832,37.650784215
NODE,노원구,중계동,127.07472521,37.65060931
NODE,노원구,중계동,127.07300416,37.65129369
NODE,노원구,중계동,127.07320084,37.651459146
NODE,노원구,중계동,127.07139288,37.650254565
NODE,노원구,중계동,127.07120825,37.650417922
NODE,노원구,중계동,127.069844,37.649188593
NODE,노원구,중계동,127.07442881,37.654875388
NODE,노원구,중계동,127.07416775,37.654918896
NODE,노원구,중계동,127.07447441,37.65456283
NODE,노원구,중계동,127.07434238,37.654528695
NODE,노원구,중계동,127.07406411,37.654579057
NODE,노원구,중계동,127.07382507,37.653675837
NODE,노원구,중계동,127.07447175,37.654772705
NODE,노원구,중계동,127.07409472,37.653618637
NODE,노원구,중계동,127.07331372,37.659344757
NODE,노원구,중계동,127.07315958,37.659258667
LINK,노원구,중계동,127.06062386,37.639496672
NODE,노원구,중계동,127.07487664,37.657845348
NODE,노원구,중계동,127.07460042,37.656540647
LINK,노원구,중계동,127.0818893,37.646009189
NODE,노원구,중계동,127.06709412,37.638949599
NODE,노원구,중계동,127.07660764,37.657151165
NODE,노원구,중계동,127.06869591,37.640631524
NODE,노원구,중계동,127.07535242,37.657845045
NODE,노원구,중계동,127.06916257,37.639574196
NODE,노원구,중계동,127.07521029,37.657572606
NODE,노원구,중계동,127.06227029,37.643030067
NODE,노원구,중계동,127.06247082,37.643091821
NODE,노원구,중계동,127.08113249,37.646648615
NODE,노원구,중계동,127.07553434,37.662711869
NODE,노원구,중계동,127.07487528,37.656494445
NODE,노원구,중계동,127.07649406,37.650792412
LINK,노원구,중계동,127.06360287,37.640294471
NODE,노원구,중계동,127.06990029,37.647892466
NODE,노원구,중계동,127.06259624,37.642803867
NODE,노원구,중계동,127.06073039,37.6398255
LINK,노원구,중계동,127.07554732,37.662758681
NODE,노원구,중계동,127.07019353,37.647896864
LINK,노원구,중계동,127.077991,37.654554595
NODE,노원구,중계동,127.06803714,37.647635251
NODE,노원구,중계동,127.06962529,37.648955563
NODE,노원구,중계동,127.06947869,37.648971651
LINK,노원구,중계동,127.06975593,37.649300421
NODE,노원구,중계동,127.07081203,37.645492515
NODE,노원구,중계동,127.07054865,37.645416537
NODE,노원구,중계동,127.07068302,37.645126191
NODE,노원구,중계동,127.06930064,37.649182056
LINK,노원구,중계동,127.07663041,37.647947719
NODE,노원구,중계동,127.07291031,37.651303076
LINK,노원구,중계동,127.07473785,37.656517546
LINK,노원구,중계동,127.06711572,37.644412124
NODE,노원구,중계동,127.08058071,37.648155388
LINK,노원구,중계동,127.07490185,37.657936959
NODE,노원구,중계동,127.064844,37.638214115
NODE,노원구,중계동,127.08302171,37.644228319
NODE,노원구,중계동,127.08326706,37.644223388
NODE,노원구,중계동,127.07349223,37.652485083
NODE,노원구,중계동,127.0737532,37.652400965
NODE,노원구,중계동,127.07631073,37.644584978
NODE,노원구,중계동,127.07799685,37.654400423
NODE,노원구,중계동,127.06503238,37.643483011
NODE,노원구,중계동,127.06564288,37.641234324
NODE,노원구,중계동,127.06733991,37.644174073
NODE,노원구,중계동,127.06713938,37.644107569
NODE,노원구,중계동,127.06701096,37.644381254
NODE,노원구,중계동,127.06323615,37.641368105
NODE,노원구,중계동,127.06303504,37.641299695
NODE,노원구,중계동,127.06335037,37.640591515
NODE,노원구,중계동,127.06722047,37.644442995
LINK,노원구,중계동,127.06853457,37.65059868
NODE,노원구,중계동,127.08079915,37.648102664
NODE,노원구,중계동,127.07571506,37.662437685
NODE,노원구,중계동,127.07599661,37.662442072
NODE,노원구,중계동,127.07737541,37.652165436
NODE,노원구,중계동,127.07699559,37.650766432
NODE,노원구,중계동,127.07676946,37.647570459
NODE,노원구,중계동,127.07644167,37.647513525
NODE,노원구,중계동,127.07679862,37.647975041
NODE,노원구,중계동,127.06682927,37.6453045
NODE,노원구,중계동,127.06329284,37.640486486
LINK,노원구,중계동,127.06485581,37.643439092
NODE,노원구,중계동,127.06337312,37.640317434
NODE,노원구,중계동,127.06356296,37.640646214
NODE,노원구,중계동,127.06354507,37.645829625
NODE,노원구,중계동,127.06371203,37.640321819
NODE,노원구,중계동,127.0634937,37.640267123
NODE,노원구,중계동,127.06403264,37.6390792
NODE,노원구,중계동,127.0639304,37.645959712
NODE,노원구,중계동,127.06652084,37.646237157
NODE,노원구,중계동,127.07646221,37.647920398
NODE,노원구,중계동,127.06467924,37.643395173
NODE,노원구,중계동,127.06649195,37.646084019
LINK,노원구,중계동,127.06333298,37.64040196
NODE,노원구,중계동,127.08097552,37.650500242
NODE,노원구,중계동,127.08120404,37.650266876
LINK,노원구,중계동,127.07809193,37.656519378
NODE,노원구,중계동,127.07489711,37.657636239
NODE,노원구,중계동,127.06664072,37.645254643
LINK,노원구,중계동,127.07528136,37.657708826
LINK,노원구,중계동,127.0775132,37.652095383
NODE,노원구,중계동,127.0660034,37.646267164
LINK,노원구,중계동,127.07660556,37.647541992
LINK,노원구,중계동,127.0750537,37.657604422
NODE,노원구,중계동,127.06625616,37.646017861
NODE,노원구,중계동,127.06610669,37.646038518
LINK,노원구,중계동,127.0682227,37.641945439
NODE,노원구,중계동,127.07317746,37.651545448
NODE,노원구,중계동,127.07272862,37.651473431
NODE,노원구,중계동,127.06386095,37.645208595
NODE,노원구,중계동,127.06174508,37.644712462
NODE,노원구,중계동,127.06191271,37.644800406
NODE,노원구,중계동,127.0617663,37.645047923
NODE,노원구,중계동,127.06366356,37.64530863
LINK,노원구,중계동,127.07648954,37.650673478
LINK,노원구,중계동,127.07818844,37.65339526
NODE,노원구,중계동,127.06601635,37.641343743
LINK,노원구,중계동,127.07555228,37.660567276
NODE,노원구,중계동,127.06437481,37.638083927
LINK,노원구,중계동,127.08098587,37.65058419
LINK,노원구,중계동,127.08061188,37.64772905
NODE,노원구,중계동,127.07793673,37.65646192
NODE,노원구,중계동,127.06890512,37.640698029
NODE,노원구,중계동,127.06845225,37.641698644
LINK,노원구,중계동,127.07395989,37.653647237
LINK,노원구,중계동,127.06083655,37.639688411
LINK,노원구,중계동,127.06183951,37.644924164
NODE,노원구,중계동,127.06985541,37.649090294
NODE,노원구,중계동,127.06152065,37.644688787
NODE,노원구,중계동,127.06832612,37.641972786
NODE,노원구,중계동,127.06671492,37.638849323
LINK,노원구,중계동,127.07004691,37.647894665
LINK,노원구,중계동,127.06792222,37.647717609
LINK,노원구,중계동,127.07068034,37.645454526
NODE,노원구,중계동,127.08098702,37.650292678
NODE,노원구,중계동,127.08110956,37.649695579
LINK,노원구,중계동,127.07305873,37.651606156
NODE,노원구,중계동,127.08088668,37.649723717
NODE,노원구,중계동,127.06059257,37.639866681
NODE,노원구,중계동,127.06078778,37.639766089
LINK,노원구,중계동,127.06345667,37.640618865
NODE,노원구,중계동,127.08102021,37.646502396
NODE,노원구,중계동,127.08183603,37.645925791
NODE,노원구,중계동,127.08194258,37.646092586
LINK,노원구,중계동,127.06641023,37.646313796
LINK,노원구,중계동,127.06163287,37.644700624
LINK,노원구,중계동,127.07323665,37.659301712
LINK,노원구,중계동,127.06834882,37.641659878
LINK,노원구,중계동,127.07675074,37.650830724
NODE,노원구,중계동,127.08099623,37.650668138
NODE,노원구,중계동,127.0798934,37.650685215
NODE,노원구,중계동,127.07990789,37.650521959
NODE,노원구,중계동,127.06444107,37.638168566
NODE,노원구,중계동,127.06068992,37.639505773
NODE,노원구,중계동,127.06088531,37.639610732
NODE,노원구,중계동,127.06465696,37.638234814
LINK,노원구,중계동,127.06938966,37.649076853
LINK,노원구,중계동,127.07667131,37.657277991
LINK,노원구,중계동,127.07817031,37.654702121
NODE,노원구,중계동,127.07159379,37.643205599
NODE,노원구,중계동,127.06824538,37.641621111
LINK,노원구,중계동,127.06582962,37.641289033
LINK,노원구,중계동,127.07510581,37.65799204
